country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,0.99,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65,,,,13,,,,,,,,,,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,,,,0.57,,,,,3.7,4.81,3.09,2.75,1.56,2.04,1.9,1.73,2.11,3.45,2.97,2.16,1.71,2.7,1.54,2,1.95,2.49,2.54,4.81
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,,,,,,,,,,,,,,,,,,,,,,,,,20,,1.91,,0.6,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.14,1.21,1.51,1.27,6.26,,2.13,,2.17,,1.85,2.49,2.09,,,2.32,0.94,,1.68,,3.63,2.83,2.51,,0.74,,,2.41,4.69,7.7
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.21,,4.2,,,,7.34,7.68,3.68,3.63,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,2.66,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36,3.2,3.84,4.16,3.4,9.6,7.23,5.32,6.37,3.05,3.46,3.33,3.35,2.99,0.98,0.61,0.8,2.03,2.13,3.37,1.98,1.45,0.98,1.01,1.06,1.3,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,2.67,,,,1.26,0.64,1.1,,0.67,0.58,0.72,1.48,1.17,,,,0.97,0.83,,,1.03,0.93,0.75,,,,1.01,0.86,0.79,0.76,0.86,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,,,,,7.91,,7.81,,,,,,,,,2.17,,,,,,,,,,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.41
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,1.33,2.13,,,0.81,,2.11,0.65,,,,0.23,,0.14,,,,0.25,0.39,0.35,0.17,,0.07,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.07,0.22,0.45,0.63,,0.22,0.49,1.01,2.02,1.81,1.5,1.78,,,5.42,2.92,3.62,2.17,2.38,2.41,,,4.37,,,3.26,,3.56,,2.18,4.35,2.47,1.3,2.65,4.05,6.25,6.27,4.06,5.83,4.24,4.26,6.49,6.71
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.74,1.62,9.07,4.23,,,,,,,,,,,,2.96,7.28,3.24,4.49,4.33,,2.46,4.37,2.3,1.97,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,,,,,,0.75,,,,,,,,0.74,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1.2,1.09,1.39,2.3,0.86,2.23,2.09,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,
France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,,,,2.64,1.96,2.33,,2.75,,,,,2.88,,,,,,,,,,,1.42,1.87,2.38,2.6,1.53,1.76,4.68,5.94,2.67,3.41,2.28,,3.54,3.1
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,0.15,,,,
